MeadowID,Date,Filter,Familie/Geslacht,Soort,Lengte,Lengte (mm),Notities
130005,16/04/25,3,Cucujoidea,,3.8,4.75,
130005,16/04/25,3,Elateridae,,5.8,7.25,
130005,16/04/25,3,Elateridae,,5.7,7.125,
130005,16/04/25,3,Staphylinidae,,9.1,11.375,
130005,16/04/25,3,Staphylinidae,,2.4,3,
130005,16/04/25,3,Staphylinidae,,1.6,2,
130005,16/04/25,3,Staphylinidae,,2.5,3.125,
130005,16/04/25,3,Staphylinidae,,6.5,8.125,
130005,16/04/25,3,Staphylinidae,,1.1,1.375,
130005,16/04/25,3,Staphylinidae,,1.1,1.375,
130005,16/04/25,4,Elateridae,,6.3,7.875,
130005,16/04/25,4,Staphylinidae,,8.3,10.375,
130005,16/04/25,4,Staphylinidae,,7.3,9.125,
130005,16/04/25,4,Staphylinidae,,3.2,4,
130005,16/04/25,4,Staphylinidae,,1.2,1.5,
130005,16/04/25,4,Staphylinidae,,2.5,3.125,
130005,16/04/25,4,Staphylinidae,,2.3,2.875,
130005,16/04/25,4,Staphylinidae,,2.7,3.375,"Alleen fragmenten aanwezig, 1,3 → 2,7"
130005,16/04/25,5,Staphylinidae,,1.5,1.875,
130005,16/04/25,5,Staphylinidae,,2.1,2.625,
130005,16/04/25,5,Staphylinidae,,5.4,6.75,
130005,16/04/25,5,Staphylinidae,,11,13.75,
130005,16/04/25,5,Staphylinidae,,10.6,13.25,
130005,16/04/25,5,Staphylinidae,,10.8,13.5,
130005,16/04/25,5,Histeridae,,6.7,8.375,"Spiegelkever. 5,7 → 6,7. Kop ingetrokken"
143016,15/04/25,1,Helophorus,,3.5,4.375,
143016,15/04/25,1,Staphylinidae,,1.6,2,
143016,15/04/25,3,Staphylinidae,,1.1,1.375,
143016,15/04/25,3,Staphylinidae,,1,1.25,
143016,15/04/25,4,Staphylinidae,,4.3,5.375,
143016,15/04/25,4,Staphylinidae,,2,2.5,
143016,15/04/25,5,Staphylinidae,,3.7,4.625,
143023,15/04/25,1,Staphylinidae,,2,2.5,
143023,15/04/25,1,Staphylinidae,,2.9,3.625,
143023,15/04/25,1,Staphylinidae,,5.4,6.75,
143023,15/04/25,2,Staphylinidae,,1.1,1.375,
143023,15/04/25,3,Staphylinidae,,9.4,11.75,
143023,15/04/25,4,Staphylinidae,,8.2,10.25,
143023,15/04/25,4,Staphylinidae,,1,1.25,
143023,15/04/25,4,Staphylinidae,,1.1,1.375,
143023,15/04/25,4,Staphylinidae,,1.1,1.375,
143023,15/04/25,5,Staphylinidae,,2.3,2.875,
143023,15/04/25,5,Staphylinidae,,3.6,4.5,
66024,14/04/25,1,Staphylinidae,,9.3,11.625,
66024,14/04/25,1,Staphylinidae,,1.6,2,
66024,14/04/25,1,Staphylinidae,,9.1,11.375,
66024,14/04/25,1,Staphylinidae,,9.5,11.875,
66024,14/04/25,1,Staphylinidae,,10.6,13.25,
66024,14/04/25,1,Staphylinidae,,9.9,12.375,
66024,14/04/25,1,Helophorus,,3.1,3.875,
66024,14/04/25,1,Helophorus,,2,2.5,
66024,14/04/25,2,Staphylinidae,,0.9,1.125,
66024,14/04/25,2,Staphylinidae,,2.9,3.625,
66024,14/04/25,2,Staphylinidae,,3.1,3.875,
66024,14/04/25,2,Staphylinidae,,1.7,2.125,
66024,14/04/25,2,Staphylinidae,,10,12.5,
66024,14/04/25,2,Staphylinidae,,9.9,12.375,
66024,14/04/25,2,Staphylinidae,,9.5,11.875,
66024,14/04/25,2,Helophorus,,2.8,3.5,
66024,14/04/25,3,Helophorus,,5.7,7.125,
66024,14/04/25,3,Staphylinidae,,1,1.25,
66024,14/04/25,3,Staphylinidae,,1.5,1.875,
66024,14/04/25,3,Staphylinidae,,8.8,11,
66024,14/04/25,3,Staphylinidae,,9.9,12.375,
66024,14/04/25,4,Helophorus,,2.9,3.625,
66024,14/04/25,5,Staphylinidae,,7.8,9.75,
66024,14/04/25,5,Staphylinidae,,9.5,11.875,
66024,14/04/25,5,Staphylinidae,,9.3,11.625,
66024,14/04/25,5,Staphylinidae,,10.5,13.125,
66024,14/04/25,5,Staphylinidae,,8.7,10.875,
583045,15/04/24,1,Helophorus,,2.6,3.25,
583045,15/04/24,1,Helophorus,,2,2.5,
583045,15/04/24,2,Helophorus,,6.3,7.875,
583045,15/04/24,2,Helophorus,,2.5,3.125,
583045,15/04/24,3,Helophorus,,3,3.75,
583045,15/04/24,3,Helophorus,,3.4,4.25,
583045,15/04/24,3,Helophorus,,3.1,3.875,
583045,15/04/24,3,Staphylinidae,,2.3,2.875,
583045,15/04/24,3,Staphylinidae,,2.3,2.875,
583045,15/04/24,5,Staphylinidae,,1.4,1.75,
583045,15/04/24,5,Helophorus,,2.3,2.875,
583045,15/04/24,5,Helophorus,,2.7,3.375,
583045,15/04/24,5,Helophorus,,2.2,2.75,
583045,15/04/24,5,Helophorus,,2.4,3,
583045,15/04/24,5,Helophorus,,2.7,3.375,
583045,15/04/24,5,Helophorus,,2.5,3.125,
583045,15/04/24,5,Helophorus,,2.3,2.875,
162027,16/04/24,1,Helophorus,,2.7,3.375,
162027,16/04/24,2,Staphylinidae,,2.8,3.5,
162027,16/04/24,2,Staphylinidae,,8.9,11.125,
162027,16/04/24,3,Staphylinidae,,2.2,2.75,
162027,16/04/24,3,Staphylinidae,,2.7,3.375,
162027,16/04/24,3,Staphylinidae,,10,12.5,
162027,16/04/24,4,Staphylinidae,,3.9,4.875,
162027,16/04/24,4,Staphylinidae,,1.2,1.5,
162027,16/04/24,5,Staphylinidae,,10.1,12.625,
162027,16/04/24,5,Staphylinidae,,5.2,6.5,
162027,16/04/24,5,Helophorus,,2.3,2.875,
24063,15/04/24,1,Staphylinidae,,2.2,2.75,
24063,15/04/24,1,Staphylinidae,,2.7,3.375,
24063,15/04/24,1,Staphylinidae,,9.3,11.625,
24063,15/04/24,2,Staphylinidae,,0.9,1.125,
24063,15/04/24,2,Staphylinidae,,1,1.25,
24063,15/04/24,2,Staphylinidae,,8.4,10.5,
24063,15/04/24,2,Staphylinidae,,9.1,11.375,
24063,15/04/24,3,Staphylinidae,,0.9,1.125,
24063,15/04/24,3,Staphylinidae,,2,2.5,
24063,15/04/24,3,Staphylinidae,,2.2,2.75,
24063,15/04/24,3,Staphylinidae,,3,3.75,
24063,15/04/24,3,Staphylinidae,,9.8,12.25,
24063,15/04/24,3,Elateridae,,7.4,9.25,
24063,15/04/24,4,Staphylinidae,,0.8,1,
24063,15/04/24,4,Staphylinidae,,1.1,1.375,
24063,15/04/24,4,Staphylinidae,,2.4,3,
24063,15/04/24,4,Staphylinidae,,6.1,7.625,
24063,15/04/24,4,Staphylinidae,,9.3,11.625,
16086,14/04/24,1,Staphylinidae,,5.9,7.375,
16086,14/04/24,1,Staphylinidae,,3.6,4.5,
16086,14/04/24,1,Helophorus,,2.1,2.625,
16086,14/04/24,2,Staphylinidae,,1.7,2.125,
16086,14/04/24,3,Helophorus,,2.8,3.5,
16086,14/04/24,3,Helophorus,,2.7,3.375,
16086,14/04/24,3,Staphylinidae,,2.5,3.125,
16086,14/04/24,3,Staphylinidae,,2.3,2.875,
16086,14/04/24,3,Staphylinidae,,2.1,2.625,
16086,14/04/24,3,Staphylinidae,,2.7,3.375,
16086,14/04/24,3,Staphylinidae,,2.2,2.75,
16086,14/04/24,3,Staphylinidae,,2.4,3,
16086,14/04/24,3,Staphylinidae,,5.7,7.125,
16086,14/04/24,3,Staphylinidae,,3.8,4.75,
16086,14/04/24,3,Staphylinidae,,2.1,2.625,
16086,14/04/24,3,Staphylinidae,,2.3,2.875,
16086,14/04/24,3,Staphylinidae,,2,2.5,
16086,14/04/24,4,Staphylinidae,,2.4,3,
16086,14/04/24,4,Staphylinidae,,2.7,3.375,
16086,14/04/24,5,Staphylinidae,,2.8,3.5,
16086,14/04/24,5,Staphylinidae,,7.7,9.625,
