meadowID,polygonID,date,water_cov,in_LUI,birds,goose_poop,penetrometer,spring,penetro_constant,SM1_1,SM2_1,SM3_1,SM1_2,SM2_2,SM3_2,SM1_3,SM2_3,SM3_3,SM1_4,SM2_4,SM3_4,SM1_5,SM2_5,SM3_5,PP1_1,PP2_1,PP3_1,PP1_2,PP2_2,PP3_2,PP1_3,PP2_3,PP3_3,PP1_4,PP2_4,PP3_4,PP1_5,PP2_5,PP3_5,SR1_1,SR2_1,SR3_1,SR1_2,SR2_2,SR3_2,SR1_3,SR2_3,SR3_3,SR1_4,SR2_4,SR3_4,SR1_5,SR2_5,SR3_5,VH1_1,VH2_1,VH3_1,VH4_1,VH5_1,VH1_2,VH2_2,VH3_2,VH4_2,VH5_2,VH1_3,VH2_3,VH3_3,VH4_3,VH5_3,VH1_4,VH2_4,VH3_4,VH4_4,VH5_4,VH1_5,VH2_5,VH3_5,VH4_5,VH5_5,SM_mean,PP_mean,VH_mean,resistance_mean,SM_median,PP_median,VH_median,VH_stdev,resistance_median,Notes
69004,69004_01,4/11/2025,0.05,Extensive,Many,no,0.50cm2,150,30,80.9,78.3,64.2,80.4,42.6,91.9,76.7,52.7,88,,,,,,,2.5,2,1.5,2.2,1.2,2.3,2.9,2.5,2.2,,,,,,,7.5,6,4.5,6.6,3.6,6.9,8.7,7.5,6.6,,,,,,,17.1,13.9,4.6,5.6,6.9,8.4,7.6,6.9,14.4,4.9,11.7,11.1,18.4,17.9,12.4,,,,,,,,,,,72.85555556,2.144444444,10.78666667,6.433333333,78.3,2.2,11.1,4.785374544,6.6,Ditch every 10meters with bit of water
69045,69045_01,4/11/2025,0.05,Extensive,Few,no,0.50cm2,150,30,32.7,44.6,37.9,38.4,32.9,41.4,31.7,39.6,39.3,,,,,,,4.8,5.1,3.1,2.4,3.7,5,3.5,2.8,3,,,,,,,14.4,15.3,9.3,7.2,11.1,15,10.5,8.4,9,,,,,,,12.1,10.4,8.7,9.4,8.3,5.6,12.7,6.1,15.4,23.4,8.1,7.8,7.9,11.1,16.1,,,,,,,,,,,37.61111111,3.711111111,10.87333333,11.13333333,38.4,3.5,9.4,4.628555262,10.5,Dry ditch every 10 meters
69045,69045_02,4/11/2025,0.01,Extensive,Few,no,0.50cm2,150,30,26.5,22.7,21.6,39,42.8,24.7,41.3,35.8,26.9,,,,,,,4.9,3.1,3.5,3.1,2.9,3.2,3.8,4.8,4,,,,,,,14.7,9.3,10.5,9.3,8.7,9.6,11.4,14.4,12,,,,,,,11.6,12.6,9.7,12.2,9.8,10.2,8.6,9.5,10.4,6.7,14.6,10.3,11.4,9.9,11.2,,,,,,,,,,,31.25555556,3.7,10.58,11.1,26.9,3.5,10.3,1.836222831,10.5,Dry ditch every 10 meters
79020,79020_01,4/9/2025,0.1,Extensive,Many,yes,0.25cm2,150,60,30.4,22.3,31,35.5,35.1,39.5,34.3,42.6,25.5,,,,,,,3,3.8,5,1.1,1.1,2.2,2.6,2.7,2.4,,,,,,,18,22.8,30,6.6,6.6,13.2,15.6,16.2,14.4,,,,,,,4.6,4.2,3.6,5,5.1,3.5,3.4,3.3,2.6,7,6.2,3.5,4.2,3,6.1,,,,,,,,,,,32.91111111,2.655555556,4.353333333,15.93333333,34.3,2.6,4.2,1.295523428,15.6,"Dry manure, Hay, Goose poo, ditch every 10/15 meters with water"
79020,79020_02,4/9/2025,0.1,Extensive,Many,yes,0.50cm2,150,30,24.6,26.3,34.4,38.9,36.3,46,11.6,22.8,27.2,,,,,,,6.6,5,4.9,3.8,3.1,2,3.9,6.4,6.2,,,,,,,19.8,15,14.7,11.4,9.3,6,11.7,19.2,18.6,,,,,,,4.2,4.3,4.7,7.1,4.9,5.3,4.4,4.1,3.5,3.2,11.9,7.5,3.5,7.2,5.5,,,,,,,,,,,29.78888889,4.655555556,5.42,13.96666667,27.2,4.9,4.7,2.251094972,14.7,"Dry manure, Hay, Goose poo, ditch every 10/15 meters with water"
79024,79024_02,4/9/2025,0.01,Extensive,Many,yes,0.25cm2,150,60,36.4,38.1,67.4,80.4,81.3,88.5,65,80.9,78.6,,,,,,,1.5,1.5,2,1.1,1.2,1.4,1.2,1.3,1.8,,,,,,,9,9,12,6.6,7.2,8.4,7.2,7.8,10.8,,,,,,,4.8,4.9,3.1,3.2,3.9,3.7,2.6,1.6,2.7,3.2,3.6,3.8,5.1,5.5,3.1,,,,,,,,,,,68.51111111,1.444444444,3.653333333,8.666666667,78.6,1.4,3.6,1.059559657,8.4,"Goose poo, ditches every 15 meters with small layer of water, dry hay"
129014,129014_01,4/8/2025,0.1,Extensive,Many,yes,0.50cm2,150,30,69.7,68.6,77.8,100,58.6,72,43,50.3,63.5,,,,,,,3.2,2.9,4.2,1.4,1.6,2.4,2.9,2.4,3.4,,,,,,,9.6,8.7,12.6,4.2,4.8,7.2,8.7,7.2,10.2,,,,,,,5.2,16.6,16.2,5.5,4.1,2.5,3,3.5,4.2,5.9,20.6,20.7,11.7,20.3,6.1,,,,,,,,,,,67.05555556,2.711111111,9.74,8.133333333,68.6,2.9,5.9,7.111740796,8.7,"Ditches 15 meters, filled with low level of water, Goose Poo"
129014,129014_02,4/8/2025,0.05,Extensive,Few,yes,0.50cm2,150,30,72.7,63.5,71.3,75.4,71.3,100,80.2,33,76.1,,,,,,,3,2.2,2,1.3,1.2,2.9,2.6,3.8,1.6,,,,,,,9,6.6,6,3.9,3.6,8.7,7.8,11.4,4.8,,,,,,,5,4.6,7.9,10,17.1,3.9,3.2,10.1,5.9,3.3,6.2,3.4,2.9,1.4,3.4,,,,,,,,,,,71.5,2.288888889,5.886666667,6.866666667,72.7,2.2,4.6,4.020281914,6.6,"Ditches 15 meters, filled with low level of water, Goose Poo, dry grass"
129088,129088_02,4/8/2025,0,Extensive,Few,yes,0.50cm2,150,30,28.2,24,22.5,25.3,23.5,24.4,30.3,54.3,43.7,,,,,,,5.1,4.8,5.7,3.6,4.8,5.2,1.2,2.2,1.9,,,,,,,15.3,14.4,17.1,10.8,14.4,15.6,3.6,6.6,5.7,,,,,,,6.5,4.3,2.1,3.9,4.3,3.1,5.5,5,2.1,2.4,2.5,2.6,2.9,1.4,5.1,,,,,,,,,,,30.68888889,3.833333333,3.58,11.5,25.3,4.8,3.1,1.488623525,14.4,"Goose poo, empty ditches every 10 meters"
129088,129088_01,4/8/2025,0.6,Extensive,Few,yes,0.50cm2,150,30,78.7,69.1,76.6,100,100,100,75.9,80.3,79.2,,,,,,,1.6,1.4,3.3,1.9,2.9,2.4,2,2,1.5,,,,,,,4.8,4.2,9.9,5.7,8.7,7.2,6,6,4.5,,,,,,,4.5,5.2,7.4,4.7,6,7.4,17.6,18.6,0,0,4.6,5.6,3.2,4.6,7.2,,,,,,,,,,,84.42222222,2.111111111,6.44,6.333333333,79.2,2,5.2,5.239111157,6,Wetted land and Goose poo
142027,142027_02,4/17/2025,0.05,Extensive,Many,no,0.25cm2,150,60,37.2,31,31,56,36.5,54,35,42,29.7,,,,,,,4.2,2.7,2.6,2,1.4,1.9,2.8,2.7,2.3,,,,,,,25.2,16.2,15.6,12,8.4,11.4,16.8,16.2,13.8,,,,,,,23.3,26.1,27.4,25.4,11.3,21.3,26.1,8.3,15,7,14.1,7.2,8,17.5,12.2,,,,,,,,,,,39.15555556,2.511111111,16.68,15.06666667,36.5,2.6,15,7.662077301,15.6,Hard manure
575023,575023_02,4/9/2025,0.15,Extensive,Many,yes,0.25cm2,150,60,68.8,65.7,66.1,73.4,79.5,79.6,49.4,45.8,36.6,,,,,,,1.4,2.9,2.6,1.2,1.3,1,1.9,2.9,5.3,,,,,,,8.4,17.4,15.6,7.2,7.8,6,11.4,17.4,31.8,,,,,,,5.5,4,6.7,6.3,3,2.9,4,4.5,1.6,3.2,6.4,6.6,3.8,2.5,7.7,,,,,,,,,,,62.76666667,2.277777778,4.58,13.66666667,66.1,1.9,4,1.835055468,11.4,"A lot of dry hay on land, Some goose poo, ditch every 10/15 meters with water"
575023,575023_01,4/9/2025,0.4,Extensive,Many,yes,0.25cm2,150,60,55.2,52.1,58.2,80.4,82.4,73.5,78,79.7,77.8,,,,,,,1.3,1.8,1.5,1.2,1.5,1.6,3.2,2,1.4,,,,,,,7.8,10.8,9,7.2,9,9.6,19.2,12,8.4,,,,,,,7,6.2,10.6,2.3,4.6,9.2,1.5,8.5,7,4.2,6.2,19.5,9.2,7.3,6.1,,,,,,,,,,,70.81111111,1.722222222,7.293333333,10.33333333,77.8,1.5,7,4.208574015,9,"A lot of dry hay on land, Some goose poo, ditch every 10/15 meters with water"
16082,16082_01,4/10/2025,0,Intensive,No,yes,0.25cm2,150,60,21.3,16.1,17.4,21.4,13.7,16,18.1,16.3,19.2,19.4,16.7,16.8,,,,4,4.1,5.6,4,3.7,3.2,4.1,4.8,3.9,3.6,4.7,5,,,,24,24.6,33.6,24,22.2,19.2,24.6,28.8,23.4,21.6,28.2,30,,,,3.3,3.9,6.9,3.4,2.8,3.5,4.6,2.8,5.6,3.4,8.3,6.9,7.3,6.6,5.4,3.1,5.6,3.9,3,5.3,,,,,,17.7,4.225,4.78,25.35,17.1,4.05,4.25,1.718199792,24.3,Goose Poo Plus dry manure
114090,114090_02,4/10/2025,0,Intensive,No,no,0.25cm2,150,60,11.1,11.3,18.3,17,16,15.1,18.7,14.9,16.2,,,,,,,5.6,10,10,8,6.9,10,10,10,10,,,,,,,33.6,60,60,48,41.4,60,60,60,60,,,,,,,18.1,21.2,18,22,22.6,19.1,17.4,19.2,16.8,18.7,22.6,22.2,21.8,24.4,20.9,,,,,,,,,,,15.4,8.944444444,20.33333333,53.66666667,16,10,20.9,2.288064268,60,Slurry tracks
114090,114090_01,4/10/2025,0,Intensive,No,no,0.25cm2,150,60,23.5,17.3,19.4,23.8,17.9,19.5,16.6,21.7,15.7,,,,,,,6.6,7,7.9,4.4,7.8,8,10,7.9,4.5,,,,,,,39.6,42,47.4,26.4,46.8,48,60,47.4,27,,,,,,,12.1,11.9,14.1,13.1,11.7,13.6,11.7,12.8,6.9,14.7,20,18.7,13,17.6,16.7,,,,,,,,,,,19.48888889,7.122222222,13.90666667,42.73333333,19.4,7.8,13.1,3.285567284,46.8,Slurry tracks
114091,114091_01,4/10/2025,0,Intensive,No,no,0.25cm2,150,60,16.3,18.3,9.1,6.8,15.1,11.8,12.3,10.5,15.3,,,,,,,8,8,6.5,10,6.9,4.4,6.7,10,10,,,,,,,48,48,39,60,41.4,26.4,40.2,60,60,,,,,,,16.8,14.2,20.1,16.1,17.8,16.5,17.2,19.2,14.5,17.1,16.7,20.8,17.2,15.8,14.3,,,,,,,,,,,12.83333333,7.833333333,16.95333333,47,12.3,8,16.8,1.956624888,48,Slurry tracks
114091,114091_02,4/10/2025,0,Intensive,No,no,0.25cm2,150,60,16.2,18.1,15.4,11.5,20,21.5,18.9,15.8,12.6,,,,,,,6.4,10,5.5,7.9,6.7,10,7.6,6.2,10,,,,,,,38.4,60,33,47.4,40.2,60,45.6,37.2,60,,,,,,,10.1,10.4,14.5,13.2,15.1,16.7,22.8,14.7,16.5,10.4,19.1,19.4,16.2,16.6,14.7,,,,,,,,,,,16.66666667,7.811111111,15.36,46.86666667,16.2,7.6,15.1,3.52760542,45.6,Slurry tracks
116032,116032_02,4/7/2025,0,Intensive,No,no,0.25cm2,150,60,20.1,16.4,20.9,22.4,21.5,22,12.5,19.6,22.1,,,,,,,3.1,4.2,5.9,4.7,3.8,6,4,5.3,4,,,,,,,18.6,25.2,35.4,28.2,22.8,36,24,31.8,24,,,,,,,24.5,31.9,19.5,25,26,34.9,27.5,24.1,30.4,16.5,16.2,15,20.8,24.2,20.5,,,,,,,,,,,19.72222222,4.555555556,23.8,27.33333333,20.9,4.2,24.2,5.855156458,25.2,
116032,116032_01,4/7/2025,0,Intensive,No,no,0.25cm2,150,60,15.6,21.7,11.1,18.6,16.9,18.3,22,27.2,16.1,,,,,,,4.4,5.1,4.2,4.9,2.2,3.4,4.8,4.8,4,,,,,,,26.4,30.6,25.2,29.4,13.2,20.4,28.8,28.8,24,,,,,,,24.3,29.5,21.9,14,30,21.9,24,20.6,30.1,14.4,14,29,16,25,27.2,,,,,,,,,,,18.61111111,4.2,22.79333333,25.2,18.3,4.4,24,5.943119271,26.4,
128006,128006_02,4/11/2025,0,Intensive,No,no,0.25cm2,150,60,19.8,13.8,13.1,18.7,18,20.6,20.2,15,17.4,,,,,,,7.3,7.8,10,7.3,5.7,8,6.5,6.9,10,,,,,,,43.8,46.8,60,43.8,34.2,48,39,41.4,60,,,,,,,21.5,21.3,23.4,22.2,18.2,21.1,21.7,20.9,19.6,13.4,18.6,20.9,18.9,20.3,24.6,,,,,,,,,,,17.4,7.722222222,20.44,46.33333333,18,7.3,20.9,2.598571036,43.8,Slurry tracks
128006,128006_01,4/11/2025,0,Intensive,No,no,0.25cm2,150,60,18.4,13.2,18.4,19.7,19.3,40.4,9.2,17.1,16.2,,,,,,,5.2,7.9,6.4,5.2,7,7.2,7.5,5.6,7.7,,,,,,,31.2,47.4,38.4,31.2,42,43.2,45,33.6,46.2,,,,,,,30.6,24.2,22.1,24.4,22.5,15.1,17.2,17.5,16.2,16.3,20.2,20.5,29.7,17.9,30.6,,,,,,,,,,,19.1,6.633333333,21.66666667,39.8,18.4,7,20.5,5.316640543,42,Slurry tracks
130005,130005_01,4/8/2025,0,Intensive,No,no,0.25cm2,150,60,21.1,23.2,20,20,19.9,17.5,24.4,14.4,17.3,20.3,19.7,19.9,,,,4.7,4.3,3.2,2.8,4.8,5.6,7.1,7,6.9,6.2,7.9,7.2,,,,28.2,25.8,19.2,16.8,28.8,33.6,42.6,42,41.4,37.2,47.4,43.2,,,,23.1,15.6,18.9,26,14.8,28.2,28,29,30.5,21.8,20.5,13.1,14.5,13.2,24,28.2,28.7,22.4,24.5,27.5,,,,,,19.80833333,5.641666667,22.625,33.85,19.95,5.9,23.55,5.834008733,35.4,Pair of marsh harriers building a nest besides it
133035,133035_02,4/16/2025,0,Intensive,No,no,0.25cm2,150,60,21.9,25.8,28.1,23.7,32.8,25.5,20.2,17.1,23.9,,,,,,,6.4,6.9,7.7,10,10,10,10,10,5.5,,,,,,,38.4,41.4,46.2,60,60,60,60,60,33,,,,,,,11.9,14.5,20.6,7,7.2,8.3,9.7,10.9,12.4,16.8,12.3,12.6,16.3,16.6,20.4,,,,,,,,,,,24.33333333,8.5,13.16666667,51,23.9,10,12.4,4.325120422,60,Cows have been grazing for only 1 or 2 days
133035,133035_01,4/16/2025,0,Intensive,No,no,0.25cm2,150,60,23.4,23.5,16,28.5,22.3,24.2,20.8,12.7,10.2,,,,,,,6.1,4.3,6.2,10,5.2,7.1,6.6,5.9,10,,,,,,,36.6,25.8,37.2,60,31.2,42.6,39.6,35.4,60,,,,,,,24.1,19.6,4.7,7.9,7.4,12.5,12.2,15.3,16,24.2,15.6,16.1,7.2,10.6,5.3,,,,,,,,,,,20.17777778,6.822222222,13.24666667,40.93333333,22.3,6.2,12.5,6.255268256,37.2,Cows have been grazing for only 1 or 2 days
149006,149006_01,4/14/2025,0,Intensive,No,no,0.25cm2,150,60,43.3,28.2,37.8,41.8,43.7,28.3,24.4,23.1,24.9,,,,,,,3.3,2.7,1.8,3.9,3.7,1.8,2.7,4.6,4.9,,,,,,,19.8,16.2,10.8,23.4,22.2,10.8,16.2,27.6,29.4,,,,,,,26.9,27.2,29.4,24.3,27.9,31.3,30.2,30,31,26.5,39.1,32.5,31.6,29.2,33.1,,,,,,,,,,,32.83333333,3.266666667,30.01333333,19.6,28.3,3.3,30,3.500584985,19.8,"2 Deep empty ditch, Slurry trails"
149006,149006_02,4/14/2025,0,Intensive,No,no,0.25cm2,150,60,39.9,45.9,47.7,28.6,24,26.8,28.6,28.6,22.4,,,,,,,1.7,1.8,2.5,5.3,3.8,3.4,2.6,2.4,3.5,,,,,,,10.2,10.8,15,31.8,22.8,20.4,15.6,14.4,21,,,,,,,27,25.6,18.4,34.7,35.2,27.5,25,26.1,18.2,17.8,16.5,17.2,21.4,18.6,14.7,,,,,,,,,,,32.5,3,22.92666667,18,28.6,2.6,21.4,6.437664469,15.6,"2 Deep empty ditch, Slurry trails"
564029,564029_01,4/9/2025,0,Intensive,No,no,0.25cm2,150,60,5,16.7,19.3,20.8,13.3,20.4,14.1,9.2,8,,,,,,,8,10,10,6,6.9,8,6.7,3.9,10,,,,,,,48,60,60,36,41.4,48,40.2,23.4,60,,,,,,,8.8,8.4,8.3,7.4,6.5,6,7,6.2,7.2,7.7,10,7,8.7,7.9,5.6,,,,,,,,,,,14.08888889,7.722222222,7.513333333,46.33333333,14.1,8,7.4,1.200515762,48,Clover parcel One big dry ditch in the middle
564029,564029_02,4/9/2025,0,Intensive,No,no,0.25cm2,150,60,17,5.3,18,15.3,18.4,17.3,17,17.1,6.4,,,,,,,7.4,6.4,7.6,7.8,8,10,4,5,7.3,,,,,,,44.4,38.4,45.6,46.8,48,60,24,30,43.8,,,,,,,6.1,7.1,8,8.5,7.2,7.1,7.5,7.6,8.1,8.5,7.3,4.2,2.3,7.8,6.2,,,,,,,,,,,14.64444444,7.055555556,6.9,42.33333333,17,7.4,7.3,1.676305461,44.4,Clover parcel One big dry ditch in the middle
575002,575002_01,4/15/2025,0,Intensive,No,no,0.25cm2,150,60,27.7,16.7,24.3,19.3,10.3,22.4,28.5,23.6,22.4,20.7,18.9,22.5,20.4,14.7,20.7,7.7,10,10,8,10,7.1,4,6.1,4.5,10,5.4,5.7,6.5,10,5.3,46.2,60,60,48,60,42.6,24,36.6,27,60,32.4,34.2,39,60,31.8,20.5,23.1,12.2,21.6,16.2,10.2,17.5,17.4,14.2,13.1,24.9,15.6,15.1,14.4,18.6,23.9,25.2,27,16.8,19.3,24.6,20.4,18.7,22.6,20,20.87333333,7.353333333,18.924,44.12,20.7,7.1,18.7,4.479144264,42.6,Slurry Tracks
583045,583045_02,4/10/2025,0,Intensive,No,no,0.25cm2,150,60,24.1,24.7,17.7,20.8,20.8,24.3,31,19.1,23,21.6,20.4,17.4,,,,5.9,5.3,10,4.2,5.9,7.3,10,10,4.8,5.9,7.9,7.6,,,,35.4,31.8,60,25.2,35.4,43.8,60,60,28.8,35.4,47.4,45.6,,,,17.9,17.4,19.4,13,13.4,14,13.6,13.2,13.1,14.6,9.6,10.5,11.8,11.4,13.1,20.8,19.1,14,14.1,16,,,,,,22.075,7.066666667,14.5,42.4,21.2,6.6,13.8,3.030893563,39.6,Slurry tracks
583045,583045_01,4/10/2025,0,Intensive,No,no,0.25cm2,150,60,25.3,21.5,22.4,20.3,10.9,23.5,23.1,27.6,22.7,28.8,21.7,24.8,,,,7.9,7.8,8,4.8,5.8,5.6,4.5,6.8,5.7,4.9,4.3,5,,,,47.4,46.8,48,28.8,34.8,33.6,27,40.8,34.2,29.4,25.8,30,,,,13.8,17.6,15.2,18.2,17,13.6,13.6,14.5,15.4,16.1,14.6,11.6,12.4,17.3,13.1,22,18.6,21.4,20.7,27,,,,,,22.71666667,5.925,16.685,35.55,22.9,5.65,15.75,3.825300126,33.9,Slurry tracks
16082,16082_02,4/10/2025,0,Mid-high,No,yes,0.25cm2,150,60,17.8,17.6,15.4,17.3,16.5,22.3,17.8,10.6,17.4,,,,,,,3.2,2.9,4.7,4.9,4.8,4,4.6,3.2,3.6,,,,,,,19.2,17.4,28.2,29.4,28.8,24,27.6,19.2,21.6,,,,,,,6.1,10.1,6.9,10.6,9.1,9.2,8.3,3.4,3.6,9.9,9.7,10.4,3.4,4.5,6.5,,,,,,,,,,,16.96666667,3.988888889,7.446666667,23.93333333,17.4,4,8.3,2.706834384,24,"Less Goose Poo, dominated by Ranunculus ficaria, dry manure on it."
16082,16082_03,4/10/2025,0,Mid-high,No,yes,0.25cm2,150,60,24.6,24.6,12.2,20.7,20.1,29.7,25.2,20.1,29.7,,,,,,,3.7,3.5,4.5,3.5,4.8,4.2,3.5,3.8,4,,,,,,,22.2,21,27,21,28.8,25.2,21,22.8,24,,,,,,,5.2,5.3,6,4.6,4.2,6.3,5.4,6.1,5.1,4.5,7.2,5.8,4,4.2,3.1,,,,,,,,,,,22.98888889,3.944444444,5.133333333,23.66666667,24.6,3.8,5.2,1.059424821,22.8,Goose Poo Plus dry manure
